[   18390ms] [WARNING] AG Grid: warning #29 tried to call sizeColumnsToFit() but the grid is coming back with zero width, maybe the grid is not visible yet on the screen? 
See https://www.ag-grid.com/javascript-data-grid/errors/29?_version_=34.2.0 @ http://127.0.0.1:8001/_nicegui/3.12.1/esm/3bacee81d94ad4f90becff832b897bfb/index.js:0
[  405519ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  412574ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  419652ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  426721ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  433789ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  440841ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  447921ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  455025ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  462106ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  469179ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  476248ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  483388ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  490577ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  497924ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  507765ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
[  518086ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:8001/_nicegui_ws/socket.io/?client_id=e3f8a601-4dec-4cae-b68c-0b3d3d4b3899&next_message_id=273&implicit_handshake=true&document_id=21537ddd-ce16-4f3d-b287-be85dc89742a&tab_id=5edbd975-0575-4c38-a670-fe9572e29366&old_tab_id=null&EIO=4&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8001/_nicegui/3.12.1/static/socket.io.min.js:5
